File: 2020_04_24_001,H2,CO,CH4,C2H4
Manual Output,6434460,8233399,104182,4736787
Python Output,5986241.250222311,7864169.363557308,628345.4382221531,4706659.399111377
Error,0.06965910888834317,0.04484534715767959,5.031228410110701,0.006360345290726166

File: 2020_04_24_002,H2,CO,CH4,C2H4
Manual Output,6125169,6608741,4566,4513112
Python Output,5702202.346666751,6372358.392890309,538165.0577777186,5187706.739555848
Error,0.06905387481280086,0.035768175377078784,116.86356937751175,0.1494744069182967

File: 2020_04_24_003,H2,CO,CH4,C2H4
Manual Output,6213059,5581291,4649,4847935
Python Output,5782478.710666752,5358568.634667861,538367.1911110518,5504305.806222534
Error,0.06930246265700157,0.03990516984907949,114.80279438826669,0.13539183306346594

File: 2020_04_24_004,H2,CO,CH4,C2H4
Manual Output,6104946,4802390,4958,4851822
Python Output,5682209.767111195,4864552.753778863,538782.3164443851,5615003.384889207
Error,0.06924487667684608,0.01294412860656106,107.66928528527332,0.15729789445886655

